Question,Q_Annotation,A_Annotation,Final_A_Annotation
الجسدنة أو somatization   هل عانيت منها ,0,الطبيب يفقه حالة المرض  وبالطبع لن يقول تشخيص خاطئ لكي ينتهي من الحالة سريع ا إلا إذا كان طبيب لا يراعي ضميره وهذا قليل في مهنة الإنسانية  غالب ا ما يرتبط الألم في القولون فعل ا بالضغط العصبي  stress  لأن يتم إفراز مواد كيميائية التي تحفز الاحساس بالألم  وبالتالي يكون المخ واعي ا أكثر بحركات الأمعاء والقولون مما يشعره بالألم بالنسبة للجسدنة بالطبع مررت بها بسبب طبيعة دراستي للطب التي تحتم علي البقاء في ضغط كبير ومتواصل  آتي قبل فترة الامتحانات وأشعر بالإعياء وبالتعب وأنني غير قادر على القيام بأي شيء  بسبب ان الضغط العصبي مرهق جد ا ويؤثر على الجهاز المناعي لدي  أتذكر أنني منذ عامين قبل فترة امتحانات أصبت بنزلة برد شديدة ظلت معي أسبوعين وآخر مرة الصيف الماضي  أصبت بكورونا قبل الامتحانات أيض ا  رغم أني كنت ملتزم جد ا وآخذ أشياء تحفز جهازي المناعي لكن أعتقد أن الضغط القوي كان أقوى من ذلك  والله أعلم,0
هل يمكن أن نصاب بالتسمم من الفيتامينات ,0,قال لي الطبيب مر ة ونصحني من تناول الحديد الذي كانت تصفه أمي لي لتقو ي من صحتي الجسدية باستمرار  وقال أن ه  قد يتسبب  في تراكم الحديد داخل الجسم  والذي من الممكن أن يصل إلى مستويات سامة  مما قد يؤذيني ويسبب لي تضخم الكبد أو الطحال وألم في البطن  وأن  الأمر قد لا يقتصر على ذلك وفقط بل قد يتطو ر في حالات أخرى إلى فشل بالقلب  وقرأت بعد ذلك مرة وو جدت أن فرط الحديد في أجسام النساء الحوامل تحديد ا قد يتسبب في الآتي ونصحني دائم ا بتعويض نقص الفيتامينات والمعادن الناقصة في الجسم من الأطعمة الصحية  إلا إذا كانت الحالة جد ا متقدمة فعندها يتم تناول المكملات الغذائية لكن بعد استشارة منه شخصية وضرورية  وذلك تجنب ا من أضرار الفيتامينات ,0
كيف  تقنع  مريض سرطان علم حديث ا بمرضه  بأن يواصل حياته مثلما كانت ,1,لدي تجربة طويلة مع ابن خالتي الذي توفي  في عام 2014 بسرطان دم  لوكيميا  وك ن ا قد تعاملنا مع الموضوع بحسب توصيات الدكتورة بهذه الطريقة  أن ن خبره الاسم الطبي الم خفف لهذا الأمر  ابيضاض دم  فقالت له  الدكتورة بأن  مرضه هو ابيضاض دم قابل للشفاء بسهولة لإنه في مراحل مبكرة جدا   سيحتاج من ا تدخ ل سريع  ولكنها أصرت على التالي ولاحظنا أن ها أضافت للعلاج مضادات اكتئاب وأكلته المفضلة رغم أنها كانت من سك ر  دانيت  والسكر ممنوع بمثل هذه الحالات ولكنها كانت مهتمة بطاقته  ويبدو أن  هذه الطريقة ساعدته فعلا  على تقبل الأمور بشكل سلس ,1
وهم التحكم   هل شعورنا بالثقة المفرطة أمر صحي أم لا ,1,ربما أعاني من حالة عكسية يا شيماء  فإن صح التعبير   فأنا عندي وهم عدم التحكم  حيث دائما اشعر ان الامور خارج سيطرتي وانني لابد ان ابذل مزيد من الجهد ليكون كل شيء على ما يرام والحقيقة إن الاعتدال بين هذا وذاك هو الأقوم بالتأكيد   لأن الثقة المفرطة تترك تأثيرها بتحيز راسخ تكون فيه ثقة الشخص الذاتية في أحكامه أكبر بشكل موثوق من الدقة الموضوعية لتلك الأحكام   خاصة عندما تكون الثقة مرتفعة نسبي ا إن الثقة الزائدة هي أحد الأمثلة على سوء تقدير الاحتمالات الذاتية  وفي جميع الأدبيات البحثية   تم تعريف الثقة المفرطة بثلاث طرق متميزة   1  المبالغة في تقدير الأداء الفعلي للفرد   2  المبالغة في أداء الفرد بالنسبة للآخرين و  3  الدقة الزائدة في التعبير عن يقين غير مبرر في دقة معتقدات المرء وارى انهم كثيرون هؤلاء المتعجرفون المزعجون اصحاب الثقة الزائدة ,1
ما دور القرفة في تخفيف الوزن    كبسولة,0,Error establishing a database connectionرسالة الموقع لي    أتمنى أن يكون بخير,1
كيف تفرق بين الجوع العاطفي واحتياجات الجسم ,1,العنصر الثاني والثالث  والثاني بالأخص وأكثر من ذلك  بل إنني أشعر بأنني لن يكتمل يومي بغير ذلك  أتعلمين أنني أحيانا أكون سعيدا عندما يحدث ذلك في نهاية الشهر  لأنني ببساطة لن أمتلك الأموال التي تمكنني من فعل ذلك  ,1
لماذا نكره الاستيقاظ باكر ا ,1,أختلف معك بالجمع أننا نكره الاستيقاظ مبكرا   لأن من يستيقظ متأخرا  تجد أغلب من حوله كذلك  فلو كنت شخص من حوله كلهم يستيقظون مبكرا  تجد نفس العدوى لديك وتتأثر دون شعور رويدا  رويدا   والامر يعتمد أيضا  على نمط الحياة الذي يعيشه الشخص   والتغيير من نمط لآخر يحتاج إلى تدريج وليس فجأة  من الصعب على الجسم التكيف مع هذا التغيير الحاد  مما يؤدي إلى الشعور بالتعب والإرهاق  لأن من الصعب على الجسم التكيف مع هذا التغيير الحاد  ولتسهيل الاستيقاظ باكر ا  يمكننك الحفاظ على نمط النوم المنتظم  وتحديد وقت محدد للنوم والاستيقاظ يومي ا  حتى يتعود الجسم على هذا النمط  وتفادي تناول الأطعمة الدسمة قبل النوم  والاعتماد على الأطعمة الخفيفة والسهلة الهضم  وتخفيض درجة حرارة الغرفة وضمان وجود ظلام تام  حتى يتم تحفيز هرمون النوم  وممارسة التمارين الرياضية بانتظام  وخاصة في الصباح ,1
كيف يتحول تناول السكر لإدمان لا يمكن التخلص منه ,0,بالأمس كنت أحكى مع أمى فى نقطة مشابهة  أعانى تلك الفترة من فقدان رهيب فى الوزن  وفوجئت بالأمس أننى خسرت ٤ كيلوهات فى وقت قصير جدا   مشكلتى ليست السكر لأننى ليست من محبى الفطير  والكب الكيب لكنى أعشق المعكرونة فقط  وأكثر منها  وبالفعل لاحظت أعراض الإجهاد  والدوخة بعد تناولها  وأخبرتنى أمى أن ذلك بسبب عدم تناولى الطعام بشكل منتظم  وكافى لذلك حينما أتناول المعكرونة  والطعام فجأة يحدث ارتفاع مفاجئ فى الجلوكوز بالدم  وفجأة انخفاض  وهذا ما ي سبب ذلك الشعور  وقد أكدت  المعلومة يا حورية بمساهمتك  وفي رأيك كيف يمكنك التخلص منه والسيطرة عليه فى حالتى لا أ ريد التخلص بقدر ما أريد تنظيم طعامى  وتناول وجبات منتظمة  وعدم الاكتفاء بوجبة واحدة  والتى تعمل كصدمة لجسمى غالبا   هل يمكن للإنسان العيش حياته بأكملها بدون السكر بالتأكيد لا  فالسكريات لها فوائدها أيضا   الجلوكوز هو مصدر الطاقة الأساسى الذى نعتمد عليه فى كل أنشطة حياتنا  وعدم توافره بشكل كافى يجعل الجسم يتجه للحصول على الطاقة من الدهون  وهو ما ينتج عنه مواد ضارة بإمكانها تسبيب الوفاة  لذلك ي عد نظام الكيتو فى التخسيس قاتلا  حيث يتجه لاستخدام الدهون فى الطاقة  هل سمعتى عنه من قبل ,1
العدسات اللاصقة و كل ما يتعلق بها و المضاعفات و التأثيرات الجانبية الناتجة عن استخدامها   كبسولة,0,قرأت  المقال للتو  وأشكر لك جهدك   لدي سؤال كيف تؤثر إصابة الشخص بالربو بإمكانية استخدامه للعدسات ,1
ما هي الإسعافات الأولية في حالات الزلازل ,0,بالإضافة إلى ما ذكرت   فإن في حالة اختراق جسم الشخص بواسطة جسم حاد فيجب عدم محاولة نزع هذا الجسم الحاد  لأن نزعه بطريقة خاطئة سيتسبب في تمزيق الأنسجة لدى خروجه  ,0
متلازمة الأكل الليلي   هل سبق لكم الاستيقاظ من النوم من أجل الطعام ,1,لم يسبق لي من قبل الاستيقاظ ليلا لمجرد الأكل  أما عن آخر وجبة لي في اليوم فغالبا لا تتجاوز العاشرة ليلا كأقصى حد  أحيانا أستغني عن وجبة العشاء  عند الدراسة فوجبات اليوم تكون منظمة و محددة  الفطور في الثامنة  الغذاء في الواحدة بعد الزوال و الوجبة الخفيفة في السابعة بعد الزوال ثم العشاء في التاسعة لكن في أيام العطلة  فالفطور مع العاشرة  و الغذاء لا وقت محدد له أحيانا حتى الرابعة بعد الزوال ,1
اغلبنا يعرف ان النوم لساعات قليلة يسبب ظهور الهالات السوداء تحت العين  ولكن ماذا عن النوم لساعات طويلة ,0,النوم لساعات طويلة أكثر من المطلوب يسبب الخمول والكسل على المستوى العام  وإذا نظرنا إلى مستويات أكثر دقة فإننا قد نلاحظ اضطرابات في هرمونات مسؤلة عن التركيز والنموذج وغيرها  بالإضافة إلى أن النوم لساعات مبالغ في طولها قد يؤدي إلى مشاكل في الدورة الدموية نتيجة عدم الحركة لفترات طويلة  كذلك قد يؤدي الأمر إلى مشاكل تغذوية كبيرة نظرا لعدم تناول الطعام لفترات أطول من اللازم وقد يتبعه تناول كميات كبيرة جدا في فترة الاستيقاظ  لذلك ما أجمل الترتيب الرباني الجميل الليل للنوم والنهار للسعي  وصدق تعالى إذ يقول  وجعلنا الليل لباسا وجعلنا النهار معاشا  ,0
المرونة الزائدة   متلازمة إهلرز دانلوس ,1,ربما لا يعرفون بالتبعات الصحية ياسين  هذا كأقل تقدير  لأنني لا أحب أن أفكر بالأمر بأنهم يعلمون  لكن  الحاجة أجبرتهم رغم كل شئ  نعم شاهدتها في البرامج التلفزيونية ولا أخفيك لا تشدني أبدا  ,1
ما هي العادة الصحية الخاطئة التي تتبعها في أيام عيد الأضحى ,0,اكتشفت عادة صحية جيدة نقوم بها في أسرتي ولا نشعر  فنحن لا نتناول لحوم أضحيتنا إلا بعد مرور يوم على ذبحها  ونشتري اللحم الخاص بأول يوم عيد   لا أعلم السبب في ذلك  ولكن سعيدة بأن ما نقوم به هو الصحيح عادتي الخاطئة هي تناول اللحوم الحمراء بنفسها  أفضل تناول الدجاج عن تناول اللحوم  إلا أنه لا بد في كل عيد أن أحاول تذوق تلك اللحوم وبعدها أشعر ببعض التعب ,1
زرع قلب خنزير بجسم إنسان  هل ستحل مشكلة النقص الحاد في الأعضاء البشرية الجاهزة للزراعة ,0,تعد عمليات زراعة القلب من أصعب عمليات الزراعة  فلا تتشابه أبد ا مع باقي عمليات الزراعة مثل زراعة الكبد التي لا تحتاج سوى جزء من كبد المتبرع لتنجح عملية النقل في النهاية  برأيي إن نجاح تلك العملية سيغير مجرى الحياة بالنسبة لعدد كبير من الأشخاص  وفق ا للإحصائيات فإن هناك 17 مريض يموتون يومي ا في الولايات المتحدة  وقد كانوا في انتظار عملية الزرع الخاصة بهم   أما الآن بات الأمر أسهل أو على الأقل يمكن إنجازه في وقت أسرع من قبل أتابع كافة الأخبار حول هذا المريض  فلا نعلم بعد ما إن كان الجسم قد تقبل القلب بشكل كامل أم لا ,1
العناية المركزة للحروق   ,1,ذكرتني أحمد بزيارتي لهذا المكان  عند إصابة زميلان لنا بحريق نتيجة مس كهربائي  وكانوا بنفس المشفى التي كنت أعمل بها في مركز الحروق الجامعي  وذهبنا لزيارتهم عقب الحادث وإذ منذ بداية دخولي وأنا أشم هذه الرائحة والتي تشبه احتراق الجلد ممزوجة برائحة كريم ميبو وهو له رائحة نفاذة جد ا أكثر مما تخيلت  لأول مرة شعرت بالدوخة والإعياء خاصة  بعد أن دخلت لزيارتهم أحدهم بالعناية المركزة ولكنه توفاه الله والثاني تضرر وجه ويديه  وبعدها أدركت أن هذا المكان مقارنة بكافة أنواع المستشفيات هو الأسوء فبه كمية آلام لاتحتمل  الله يعافيهم جميعا واحمنا ياارب من النار ,1
كيف أعلم إن كنت سمين أم نحيف أم عادي  ,0,كوني أعتمد على حمية غذائية في الوقت الحالي فقد اعتدت حساب مؤشر كتلة الجسم بصورة أسبوعية  وبالفعل نجحت في إنقاصه من 31 25 ليصل إلى 28 9  وهو ما أخذ مني وقت ا كبير ا بالرغم من صغر النسبة نوع ا ما ولكني لا أفضل الاعتماد على الأمر كأمر ثابت عند معرفة الوزن  فلو كانت الكتلة العضلية كبيرة ستؤثر على هذا المؤشر وتعطي نتائج خاطئة  وهو ما يقصد من قلة فائدة هذا المؤشر للرياضيين كما أشرتي ,1
أسباب السلس البولي و أهم العلاجات الفعالة و أساليب الوقاية   كبسولة,0,أهلا  و سهلا  بك  صوت الماء الجاري أي صوت تدفق و جريان الماء سواء  صنبور مفتوح أو ماء ينبوع أو أي ماء تسمع جريانه و حركته عملية استئصال الرحم تتم عادة  إما عن طريق شق البطن أو جرح في المهبل  و من المضاعفات الناتجة عن كلتا الحالتين  احتمال إلحاق الضرر  في الأجهزة البولية  الحالب و المثانة   مما يؤثر على عمل المثانة و زيادة خطورة الإصابة بالسلس البولي  و من ناحية أخرى كذلك  عند استئصال الرحم ينخفض تركيز الهرمونات الأنثوية  و بالتالي كما في حالة سن اليأس تضعف العضلات و يحدث التبول اللا إرادي من الممكن أن يؤدي الوسواس لحدوث السلس البولي  فهو بالنتيجة يصنف من أنواع السلس البولي الوظيفي بالنسبة للمصلي ي عتبر في هذه الحالة من أصحاب الأعذار  و ينبغي عليه قبل كل صلاة أن يغير ملابسه ليحرص على طهارتها و يتوضأ و يشرع مباشرة  في الصلاة  و حتى لو عانى من السلس البولي أثناء الصلاة فلا حرج في ذلك شكرا  لتفاعلك و أي سؤال أنا بالخدمة   ,0
إلى أي مدى تبدي اهتمام ا بصحتك النفسية ,1,أعتقد أنه لا يوجد شخص في اليحاة لم يمر بتجربة مماثلة  إنها ما تجعل الإنسان ينضج ويكبر ويعيد تفكيره في نظرته إلى الحياة مرة أخرى  إنها تجعلنا أصلب وا قوى  لذا أنا ممتن لتلك الفترة طيلة حياتي  أما عن تخطيها فقد كان ذلك من خلال   الإستسلام   أن أغرق بها ولا أعافر  وكما يقولون دائما   خذ وقتك   لقد مررت  بتجربة صعبة  لذا لا مشكلة ببعض التعب النفسي  هذا طبيعي  يجب أن أتقب ل ذلك    هذا ما فعلته  وربما كان الإستسلام للحزن هو أفضل ما فعلته وهو ما جعلني أستطيع النهوض مرة أخرى بعد فترة  وما أصعب الوصول إليها يا عبد الله    الأمر يستغرق سنوات وسنوات حتى نستطيع تحقيق واحدة من هذه النقاط  ,1
كيف نخفف من شعورنا بحرقة المعدة ,0,نعم  كنت أعاني منها من فترة قصيرة  ولكني لا أظن أن السبب كان واحد ممن تفضلت بذكرهم  لذلك أحببت المشاركة والاستفسار المشكلة بدأت قبل ثلاثة أشهر تحديدا   وقتها كنت أتعرض لأزمة وضغوط كبيرة في عملي  ولم تكن هذه هي المشكلة الصحية الوحيدة التي أعاني منها في الحقيقة  ولكن سأخصها بالذكر كونها محل الحديث في المساهمة لقد استقلت من عملي قبل شهرين تقريبا   ومن بعدها تحسن الأمر كثيرا  من تلقاء نفسه  لم يختلف روتيني الغذائي كثيرا لذلك أتساءل  هل من الممكن أن يكون لصحتي النفسية تأثير مباشر على صحتي الجسدية  وهل هي أحد الأسباب أصلا  أم أن الأمر كله مجرد صدفه لا أكثر ,1
أعاني من هلوسات ليلية    ,1,استشارة طبيب نفسي فورا هو أفضل حل,1
هل سيضعف نضري اكثر واكثر  ,1,السلام عليكم و رحمة الله تعالى و بركاتهأنا أيضا لا حظت أني أصبحت أحتاج للتدقيق في النصوص الصغيرة لأقرأها قبلا لم أكن أحتاج للتدقيق فيها كنت أقرأها بسهولة ما سبب لي هذا هو أشعة الهاتف اما الحاسوب فلم يؤثر على عيني كثيرابعض التدبيرات للواقيةأبعد شاشة الحاشوب عن عينينك بمسافة 50 سم على الأقلمن الأفضل أن يكون وراء شاشة الحاسوب نافذة تطل على بعض المناظر لماذا   لكي تنظر إلى خارج النافذة كل مدة لأن التركيز في الشاشة هو ما يضعف النظر و ليس الأشعةببساطة الهاتف مشكلة كبيييرة جدا لأن العينين يقومان بمجهود كبير أثناء إستعمالهعند تعرضي لأشعة الهاتف لمدة طويلة يؤلمني رأسي من جهة الأمام لا أعرف لماذاإستعمل برنامج twiligh لحماية عينين من الأشعة الزرقاء و تجنب ألم الرأسضع الهاتف جانبا كل 15 دقيقة على الأكثر و تأمل بعض المناظرإذا كان الخط في هاتفك صغيرا قم بتكبيره حتى لا تحتاج لتركيز علينك على نقطة واحدة أثناء محاولة قراءتهلا تلعب كثيرا  v  v كمدمن ألعاب كنت أمضي 4 ساعات أو أكثر بدون أن أزيح نظري عن الشاشة للأسفهذه بعض النصائح من تجربتي وليست نصائح طبية او شيئ من هذا القبيل أنصحك دائما بمراجعة الطبيب لأنه هو من سيعرف مشكلتك الصحية بالتفصيل و هو من يقدر على مساعدتك لكي تتخطاهاوأخيرا بالشفاء إن شاء الله و حافظ على عينينك ستحتاجهما   ,1
الانطوائية هل هي مشكلة صحية أم طبيعة شخصية  ما هي سمات الانطوائي    كبسولة,0,من المفيد حقا أن المقال أوضح الفرق بين الانطوائية والخجل  لأن كثير من الناس تخلط بينهما   أيضا الانطوائية ليست عيبا أو مشكلة في حين أن أغلبية الناس تتحدث عن الانطوائي وكأنه في مأساة   والحقيقة أعتقد انني انطوائية وسعيدة جدا بذلك   بعيد عن الناس والتجمعات هدوء أكثر  ومعاك أقل  ذلك أفضل جدا ولكن إذا ارد الشخص ان يغير نمطه من انطوائي إلى منفتح والعكس   هل يمكنه ذلك   أم أنه مثل البصمة لا تغيير له ولا فكاك منه ,0
 على المستوى الخلوي  ما هي الهالات السوداء ,0,إليك المقال التالي لقد وضحت  فيه الأسباب العلمية للهالات السوداء بناء  على كل حالة أتمنى أن تجدي الفائدة المطلوبة   ,0
التشوهات الإدراكية   كيف تعي خدع الدماغ,0,ههههه افعل الـ 13 والحمد لله,1
اريد ان اعمل حمية قاسية لمدة أسبوعين لن اكل شئ في نفس الوقت سوف اخذ مكمل حديد حتى لا تنزل نسبة الهيموجلوبين في الدم هل هذا صحيح,0,لا هذا غير صحيح بتاتا    فالجسم يحتاج للعديد من العناصر الغذائية ما عدا الحديد ليقوم بوظائفه الحيوية سوف ينتهي بك المطاف بعد أسبوعين تعاني من خسف شديد في نسبة الفيتامينات و المعادن و البروتينات و الكربوهيدرات و الدهون الصحية  عدا عن المشاكل و الأمراض و أبسطها الوهن و التعب و الدوار و تساقط الشعر و شحوب البشرة و تكسر الأظافر ,0
لماذا ننسى أسماء الناس بسرعة ولا ننسى وجوههم ,1,وأعتقد أن ه  بعيدا  عن هذا السبب العلمي فعلا   هناك الأسباب المنطقية التي تدعوا إلى ذلك برأيي  الاسماء تتشابه مع الناس  اسم محم د اسمعه كثيرا  في مكان عملي والحياة عموما   أما وجه محم د الذي أقصده فهذا واحد لا يتغي ر  بالمقابل أيضا  أننا لا ن رم ز الوجوه بناء  على الوجوه فقط  بل ما علاقتنا أصلا  في هذه الوجوه  وجه الموظ ف الذي يعمل في الكراج أنت تحتاجه  تريده ولذلك تحفظ وجهه بسهولة  أم ا أن تتذك ر اسمه فهذا أمر أصعب ولو كنت أقابله كل يوم  بينما اسم ممرض أنا أحتاجه لكي أتوصل إلى الدواء الفلاني  مفقود من الأسواق  فهذا الاسم سأحفظه بكل تأكيد  ما يعني أن الأمر مبني برأيي بشكل أو ل لا على الفرق بين الوجه والاسم بل على الحاجة الحقيقية  ونحن غالبا  نحتاج لرسومات الوجوه أكثر من أسمائها ,1
الوسواس القهري OCD  ما هي أعراضه  وأسباب الإصابة به ,0,لا أعتقد أن تكرار كل سلوك هو وسواس قهري  حيث  ي عرف الوسواس القهري بأنه تكرتر سلوك معين بشكل متكرر وقهري يؤدي إلى إعاقة الأنشطة اليومية وضيق شديد  وتكون نابعة من نمط أفكار ومخاوف غير مرغوب بها ومحاولة تجاهلهم يؤدي إلى ضيق وتوتر أكثر  وهذه الوساوس تكون مفرطة  وغالب ا ما تكون غير مرتبطة بشكل واقعي بالمشكلة الم فتر ض أن تحلها ومن أعراض الوسواس القهري لا يوجد سبب واضح أو مفهوم حتى الآن   لكن قد تكون أحد الأسباب التالية ,1
كيف يحول احتفاظك بمقتنياتك دون القدرة على اتخاذ القرار بالتنازل عنها إلى اضطرابا نفسيا ,0,هذا الاتجاه الفكري الحالي الذي ي سمى بال minimalism   أو فن البساطة  وغالبا تميلون للبساطة بكل شيء حتى بالعلاقات  وتحبون المساحات الفارغة  وتحتفظون بالقطع المهمة فقط لكن لدي سؤال نسيبة  بما أنك تحبي البساطة وفتاة في نفس الوقت  هل يمكنك السفر ومعك مقتنيات قليلة عكس المعروف عنا ,0
لماذا يعاني البعض من الاضطرابات الذهنية  وهل لهذا علاقة بالقدرة على التحمل  ,0,الأمر هذا يحدث كثيرا ويسمى باكتئاب ما بعد الولادة  توجد العديد من الأمهات حتى تكره طفلها في الأشهر الأولى من الولادة التعب الذي يكون في الولادة وبعدها وكل تلك الآلام فهذا الاكتئاب يكون شيء عادي لكن للأسف المجتمع غير واعي بهذا الأمر وبدل من احتواء المرأة من الممكن أن يتهمها أو تقع لها مشاكل كبيرة وشخصيا وقع هذا الأمر لي  اعتبر أن توعية المجتمع باكتئاب ما بعد الولادة الذي يحصل للمرأة من الأمور الضرورية التي علينا العمل عليها ,0
هل صحة الإنسان أهم من استقلاليته ,1,التحرر والاستقلالية التي تقصدينها هي فهم صبياني لا أكثر  لأن الحقيقة أن المسؤولية هي وجه آخر للاستقلالية  سأشرح ذلك بمثال لنفترض أنني وضعت جدول مهام ليومي  ثم في الصباح قررت أن أكون مستقلة وحرة ولم ألتزم به  سألوم نفسي طول الوقت وسأعيش كالعبد لفكرة عدم الالتزام  فأين الحرية والاستقلالية هنا ويمكن تطبيق المثال على كل شيء في حياتنا   لأن الحياة مبنية على قوانين إن التزمنا بها  كانت نتيجة حياتنا أفضل وإن لم نلتزم وكنا مستقلين كما قلت  فلنستعد لرحلة من الفشل واللوم وجلد الذات ,1
ما هو الفرق بين المرض والمتلازمة والاضطراب ,0,المرض هو  أي أمر ناتج عن استجابة فسيولوجية سلبية حصرا  لعوامل خارجية أو داخلية  أما الاضطراب فهو مختلف تماما   حيث هو خلل سلبي في الوظائف الطبيعية أو العادية في الجسم أو في جزء من الجسم  خلل وليس تشو ها  أو أذي ة حقيقي ة في العضو أو تغي ر مميت أو خطير  لتأتي المتلازمة بتوصيف مختلف حيث تكون مجموعة من العلامات والأعراض التي تميز أو تشير إلى مرض معين  أشهر المتلازمات مثلا   متلازمة داون down syndrome  على أن  الخلط برأيي بينهم طبيعي وعادي من المجتمع الغير العلمي  أي من الناس  هذا أمر طبيعي لإن  حتى المجتمع العلمي الطبي يقول بأن  هناك أمور متشابهة بين الثلاثة بنود ويضيف إليهم الحالة أيضا  أو العرض الواحد condition  حيث يجب علينا أن هناك الكثير من العلماء واجهوا صعوبة كبيرة حتى استطاعوا وضع تعاريف محددة وفاصلة تفصل بين كل مصطلح لوحده عن الآخر  أنصح كل شخص يواجه صعوبة في التفريق بينهم أن يعود إلى المصطلح الأصيل في وصفه لكل خلل في المسائل الطبية الفسيولوجية وهو  المرض  ,0
كيف يمكننا التغلب على التوتر والقلق الناتج من ضغط العمل ,0,هناك آلية اطلعت عليها مؤخرا حول التعامل مع القلق والتوتر  فبشكل عام لا يوجد حياة دون قلق أو توتر  لابد أن يكون هناك الحد الصحي منهما بحياتنا من أجل الاستعداد  ومن أجل الحظر تخيلي شاهدتي أسد قادم إلى طريقك  لولا شعورك بالقلق لن تفكري أنه يجب عليك الاختفاء من أمامه  فالقلق الصحي والتوتر مهمان لنا لنكون دوما في أتم الاستعداد أما أن يزيد القلق ليصبح عائقا فهنا يمكننا مبدئيا مصادقته  وترويضه  ونتحدث معه مع الأفكار التي تثير قلقنا ونحاول طمئنة أنفسنا بالعكس  بالتدريج ستكون الأمور تحت السيطرة وبالعمل تحديدا طالما الفرد يخطط لمهامه ويعمل على تطوير مهاراته باستمرار  سيكون القلق دوما ضمن الحد المقبول وأما عن الفرق بين القلق بالوظيفة والعمل الحر  كون الأمان الوظيفي بالوظائف أعلى بالتأكيد من العمل الحر  فستجدين هناك قلق دائم حول استمرارية العمل من عدمه  وقلق عند التقديم على عدة مشاريع والحصول على الرفض بالنهاية  لكن يظل كل مجال عيوب ومميزات ,1
كيف تخوض تجربتك السياحية للمرة الأولى ,1,طريقة تحديد المكان المناسب لها علاقة مباشرة بالمال  فهناك وجهات تحتاج للكثير من المال  بالنسبة للغات فمن أتقن الإنجليزية فقد ضمن رحلة سياحية هنيئة و من لم يتقنها فبعض الكلمات تكفيه ليستمتع بوقته  الصحبة المناسبة دائما و أبدا مع الأصدقاء و الأفضل أن لا يفوق عددهم 2  الوجهة متعلقة بالرغبة و ليست متعلقة بإحصائيات ما  شخصيا أفضل السفر لآسيا و ماليزيا  أندونيسا و تركيا على رأس القائمة,1
أربع أماكن عليك أن تزورها عند قدومك للسودان   م تنفس,1,ممكن تعيطنا معلومه عامه عن تكلفه السياحه في السودان ,1
ما السبب في رفض الفيزا ,0,يختلف من دولة لاخرى ولكن بشكل عام يرفضون كل من يعتقدون انه سيمكث ولن يغادو بعد انتهاء الفيزا  مثلا مؤشرات مثل كونك اعزب  ليس لديك عقارات او املاك  لديك اقارب في الدولة التي تريد السفر اليها  فيزا سياحية ,0
الاستثمار في سنغافوره  الفرص  عوامل التشجيع  تأسيس الشركات ,1,لكن المعيشة غالية جدا و المنافسة شديدة هناك,1
ما رأيك بالتحديات غير التعليمية في قطاع التعليم ,1,الوزارة المسئولة عن التعليم محمد كما تعلم اسمها وزارة التربية والتعليم ولم يقولوا وزارة التعليم والتربية  لأن الطفل يحتاج للتربية قبل التعليم  فالطفل يلتحق بالروضة منذ عمر أربع سنوات وهذه الفترة العمرية مهمة جدا لتقويم السلوك وقد تقضي هناك وقت مماثل لما تقضيه في منزله  لذا دور المؤسسة التعليمية لا يقل عن دور  الآباء في التربية تهرب الطلاب من الحضور  تدني المستوى الأخلاقي  تنمر بعض الطلاب وانطوائية آخرين  عدم وجود متنفس لترفيه الطلاب بالمدرسة    نجد أن مثل هذه المشكلات لا تمس الآليات التعليمية بصورة مباشرة  لكنها تصب حتما في البيئة التعليمية بعض من هذه المشكلات تجنبها مسئولية الآباء مثل تنمر بعض الطلاب وانطوائية آخرين  ومشكلة أخرى يتشارك فيها الآباء والمدرسين وهي تهرب الطلاب من الحضور والذي غالبا يرجع لعدم اهتمام الأهل برغبة الأطفال ولأن بالمدارس لا يهتمون كثيرا بالفروقات الفردية بين الأطفال وميولهم التعليمية لذا هي حلقة متصلة ولا تكتمل سوى بالجانبين معا  الآباء والمدرسين معا ,1
هل الدراسة في أوكرانيا قضاء على المستقبل ,1,أوكرانيا وجميع دول شرق أوروبا متزعزعة أقتصادي ا   بمعنى أن التعليم هناك مجرد أقتصاديات ولا وجود للأختلاف عن الدراسة في آخر بقاع الأرض  نصيحتي لك هي الولايات المتحدة ولكن مع وجودك ضمن الدول السبع احتمالية دخولك إليها تبدو صعبة قليلا   كما أن هنالك جامعات تقدم منح ممتازة جد ا وترتيبها جيد جد ا  أنا أيض ا على بعد عام من الدراسة في الخارج وقتها سيتراجع ترامب عن قرارته الصبيانية  ويسمح لأبناء الدول السبع بدخول الـ USA وإن كنت لا تفكر بها فعليك بلندن فقط أنتظر حتى تهدء الأمور وسيعود كل شيء لنصابه  ولا تخف من الموت  أنت وقفت أمامه عندما كنت في سوريا هل أعتداء واحد يدعك تتخلى عن حلمك بالدراسة في الخارج  لذا هون عليك يا رجل ولا تستعجل في أتخاذ القرارات ,1
